ID,Name,Address,URL
abohenocho,Enoch O. Aboh,University of Amsterdam,http://home.medewerker.uva.nl/e.o.aboh/
angelodenise,Denise Angelo,"Department of Education and Training, Queensland",
ansaldoumberto,Umberto Ansaldo,University of Hong Kong,http://www.hku.hk/linguist/sta/uansaldo/
bakerphilip,Philip Baker,University of Westminster,
bakkerpeter,Peter Bakker,Aarhus University,http://person.au.dk/en/linpb@hum
baptistamarlyse,Marlyse Baptista,University of Michigan,http://www-personal.umich.edu/~baptistm/
bartensangela,Angela Bartens,University of Helsinki & University of Turku,http://blogs.helsinki.fi/abartens/
baxteralann,Alan N. Baxter,Universidade Federal da Bahia,http://www.letras.ufba.br/content/alan-norman-baxter
biaguinoelbernard,Noël Bernard Biagui,"CNRS-LLACAN, Paris",
biberauertheresa,Theresa Biberauer,University of Cambridge,http://www.mml.cam.ac.uk/dtal/staff/mtb23
bolleeannegret,Annegret Bollée,University of Bamberg,http://www.uni-bamberg.de/romling/prof-em-dr-annegret-bollee/
bruynadrienne,Adrienne Bruyn,University of Amsterdam,http://www.nias.knaw.nl/Pages/NIA/20/534.bGFuZz1FTkc.html
cardosohugoc,Hugo C. Cardoso,University of Lisbon,http://www.clul.ul.pt/en/researcher/504-cardoso-hugo
clementsjclancy,J. Clancy Clements,"Indiana University, Bloomington",http://www.indiana.edu/~spanport/people/clements.shtml
colotserge,Serge Colot,Université des Antilles et de la Guyane,
denbestenhans,Hans den Besten,University of Amsterdam,http://www.let.rug.nl/koster/DenBesten/bibliography.pdf
devonishhubert,Hubert Devonish,University of the West Indies,http://www.mona.uwi.edu/dllp/jlu/staff/devonish.htm
ehrhartsabine,Sabine Ehrhart,University of Luxembourg,http://wwwen.uni.lu/research/flshase/languages_culture_media_and_identities_lcmi/staff/sabine_ehrhart
escuregenevieve,Geneviève Escure,"University of Minnesota, Minneapolis",http://english.cla.umn.edu/faculty/escure/escure.htm
faraclasnicholas,Nicholas Faraclas,University of Puerto Rico,http://humanidades.uprrp.edu/ingles/faculty/faraclasn.htm
farquharsonjosepht,Joseph T. Farquharson,University of the West Indies and University of Bielefeld,https://sites.google.com/site/jtfarquharson/
fattierdominique,Dominique Fattier,University of Cergy-Pontoise,http://www.u-cergy.fr/fr/_plugins/mypage/mypage/content/fattier.html
finneymalcolmawadajin,Malcolm Awadajin Finney,"California State University, Long Beach",http://www.csulb.edu/~mfinney/research.html
foleywilliama,William A. Foley,University of Sydney,http://sydney.edu.au/arts/linguistics/staff/academic_staff/william_foley.shtml
grantanthonyp,Anthony P. Grant,"Edge Hill University, Ormskirk (UK)",http://www.edgehill.ac.uk/profiles/anthony-grant
greenlisa,Lisa Green,University of Massachusetts Amherst,http://people.umass.edu/lisag/
hackertstephanie,Stephanie Hackert,Ludwig-Maximilians-Universität Munich,http://www.anglistik.uni-muenchen.de/personen/professoren/hackert/index.html
hagemeijertjerk,Tjerk Hagemeijer,University of Lisbon,http://www.clul.ul.pt/en/researcher/145-tjerk-hagemeijer
haspelmathmartin,Martin Haspelmath,Max Planck Institute for Evolutionary Anthropology,http://www.eva.mpg.de/lingua/staff/haspelmath/home.php
holmjohn,John Holm,University of Coimbra,http://www.uc.pt/uid/celga/membros_colaboradores/membros/johnholm
hubermagnus,Magnus Huber,University of Giessen,http://www.uni-giessen.de/anglistik/ling/Staff/huber/main.html
intumboincanha,Incanha Intumbo,University of Coimbra,http://www.uc.pt/creolistics/research/guine/incanha
invernoliliana,Liliana Inverno,University of the Algarve,http://www.uc.pt/uid/celga/membros_colaboradores/colaboradoresnaodoutorados/lilianainverno
khinkhinayenone,Khin Khin Aye,Swinburne University of Technology (Malaysia),http://www.swinburne.edu.my/faculty/language-communication/staff.html
kleinthomasb,Thomas B. Klein,Georgia Southern University,http://sites.google.com/a/georgiasouthern.edu/tklein/home
klinglerthomasa,Thomas A. Klingler,"Tulane University, New Orleans",http://stonecenter.tulane.edu/articles/detail/192/Thomas-A.-Klingler
kouwenbergsilvia,Silvia Kouwenberg,University of the West Indies,http://mord.mona.uwi.edu/staff/view.asp?pid=2098
kriegelsibylle,Sibylle Kriegel,Université Aix-Marseille,http://creoles.free.fr/kriegelperso.htm
langjurgen,Jürgen Lang,University of Erlangen-Nürnberg,http://www.prof-juergen-lang.de/
limichelle,Michelle Li,University of Hong Kong,
limlisa,Lisa Lim,University of Hong Kong,http://www.hku.hk/english/staff/lisalim.htm
ludwigralph,Ralph Ludwig,University of Halle,http://www.romanistik.uni-halle.de/studienbereiche/sprachwissludwig/profludwig/
luffinxavier,Xavier Luffin,Université Libre de Bruxelles,http://www.ulb.ac.be/rech/inventaire/chercheurs/7/CH7467.html
manfredistefano,Stefano Manfredi,"CNRS-LLACAN, Paris",
matthewsstephen,Stephen Matthews,University of Hong Kong,http://www.hku.hk/linguist/staff/sjm.html
maurerphilippe,Philippe Maurer,University of Zurich,
meakinsfelicity,Felicity Meakins,University of Queensland,http://www.slccs.uq.edu.au/index.html?page=127733
meeuwismichael,Michael Meeuwis,University of Ghent,http://www.africana.ugent.be/node/208
mesthrierajend,Rajend Mesthrie,University of Cape Town,
meyerhoffmiriam,Miriam Meyerhoff,University of Auckland,http://artsfaculty.auckland.ac.nz/staff/?UPI=mmey023
michaelissusannemaria,Susanne Maria Michaelis,Max Planck Institute for Evolutionary Anthropology,http://www.eva.mpg.de/lingua/staff/michaelis/home.php
miggebettina,Bettina Migge,University College Dublin,http://www.ucd.ie/research/people/appliedlanguagecentre/drbettinamigge/
mousmaarten,Maarten Mous,Leiden University,http://www.hum.leiden.edu/lucl/organisation/members-m-z/mousmpgm.html
mufwenesalikokos,Salikoko S. Mufwene,University of Chicago,http://humanities.uchicago.edu/faculty/mufwene/
muhleisensusanne,Susanne Mühleisen,University of Bayreuth,http://www.english-linguistics.uni-bayreuth.de/en/team/Muehleisen_Susanne/index.html
muhlhauslerpeter,Peter Mühlhäusler,University of Adelaide,http://www.adelaide.edu.au/directory/peter.muhlhausler
muyskenpieter,Pieter Muysken,Radboud University Nijmegen,http://www.ru.nl/onderzoek/kennisbank/profiel/toon_profiel?rbsid=102191
neumannholzschuhingrid,Ingrid Neumann-Holzschuh,University of Regensburg,http://www.uni-regensburg.de/sprache-literatur-kultur/romanistik/sprachwissenschaft/neumann-holzschuh/index.html
paauwscott,Scott Paauw,University of Rochester,http://ling.rochester.edu/people/faculty/paauw_scott/index.html
perekhvalskayaelena,Elena Perekhvalskaya,"Institute for Linguistic Studies RAS, St Petersburg",
petrollinosara,Sara Petrollino,Leiden University,http://www.ddl.ish-lyon.cnrs.fr/annuaires/Index.asp?Langue=EN&Page=Sara%20PETROLLINO
pfanderstefan,Stefan Pfänder,University of Freiburg,http://www.romanistik.uni-freiburg.de/pfaender/
plagingo,Ingo Plag,University of Düsseldorf,http://www.phil-fak.uni-duesseldorf.de/anglistik3/plag/
postmarike,Marike Post,University of Amsterdam,
prescodpaula,Paula Prescod,"Université Jules Verne à Amiens & CNRS-LLACAN, Paris",http://www.fcvnet.net/~paula/SVG.html
quintnicolas,Nicolas Quint,"CNRS-LLACAN, Paris",http://llacan.vjf.cnrs.fr/p_quint.php
revismelanie,Melanie Revis,Victoria University of Wellington,http://www.victoria.ac.nz/lals/research/research-students/melanie-halpap
robertssarahj,Sarah J. Roberts,Stanford University,
rosaliemarcel,Marcel Rosalie,"Seychelles Ministry of Arts, Sports and Culture",http://www.virtualseychelles.sc/gover/mlgys.htm
samarinwilliamj,William J. Samarin,University of Toronto,
schroderanne,Anne Schröder,Bielefeld University,http://www.uni-bielefeld.de/lili/personen/aschroeder/kontakt.html
schultzeberndteva,Eva Schultze-Berndt,University of Manchester,http://www.manchester.ac.uk/research/Eva.schultze-berndt/
schweglerarmin,Armin Schwegler,"University of California, Irvine",http://www.faculty.uci.edu/profile.cfm?faculty_id=2476
siegeljeff,Jeff Siegel,University of New England (Australia),http://www.une.edu.au/staff/jsiegel.php
sippolaeeva,Eeva Sippola,Aarhus University,http://pure.au.dk/portal/en/persons/eeva-sippola%28166d8f53-803b-4a3c-aa23-e727b1e26616%29.html
slomansonpeter,Peter Slomanson,Radboud University Nijmegen,http://www.ru.nl/irishstudies/members/peter-slomanson/
smithgeoffp,Geoff P. Smith,University of Hong Kong,http://caes.hku.hk/home/staff/gpssmith
smithianr,Ian R. Smith,Cornell University,http://people.laps.yorku.ca/people.nsf/researcherprofile?readform&shortname=iansmith
smithnorvalsh,Norval S.H. Smith,University of Amsterdam,http://home.medewerker.uva.nl/n.s.h.smith/
steinkrugerpatricko,Patrick O. Steinkrüger,University of Frankfurt am Main,
surekclarkclarissa,Clarissa Surek-Clark,University of Washington,http://portugueselinguist.com/
swolkiendominika,Dominika Swolkien,University of Mindelo (Cape Verde),http://www.uc.
thompsondahlia,Dahlia Thompson,University of the West Indies,http://ca.linkedin.com/in/dahliathompson
vandenbergmargotc,Margot C. van den Berg,Radboud University Nijmegen,http://home.hum.uva.nl/oz/vandenbergm/
vandervoorthein,Hein van der Voort,"Museu Paraense Emílio Goeldi, Belém",http://hvdvoort.blogspot.de/
vansluijsrobbert,Robbert van Sluijs,Radboud University Nijmegen,http://www.ru.nl/linc/people/who-we/#RobbertvanSluijs
veenstratonjes,Tonjes Veenstra,"Centre for General Linguistics (ZAS), Berlin",http://www.zas.gwz-berlin.de/mitarbeiter_veenstra.html
velupillaiviveka,Viveka Velupillai,University of Giessen,http://www.lalitha.de/velupillai/
winforddonald,Donald Winford,Ohio State University,http://www.ling.ohio-state.edu/~dwinford/
yakpokofi,Kofi Yakpo,University of Hong Kong,http://www.der-linguist.de/
