pk,jsondata,language_pk,source_pk,version
778,,3,1310,1
779,,3,1097,1
780,,56,145,1
781,,48,1222,1
782,,76,1283,1
783,,56,441,1
784,,2,560,1
785,,3,1276,1
786,,5,1045,1
787,,2,1119,1
788,,49,328,1
789,,8,992,1
790,,31,95,1
791,,60,832,1
792,,49,336,1
793,,9,396,1
794,,99,1112,1
795,,7,1039,1
796,,49,1333,1
797,,26,1103,1
798,,3,520,1
799,,47,1312,1
800,,40,609,1
801,,46,1454,1
802,,47,360,1
803,,52,586,1
804,,57,1173,1
805,,5,366,1
806,,15,539,1
807,,22,924,1
808,,61,11,1
809,,10,1353,1
810,,47,1445,1
811,,65,226,1
812,,55,1304,1
813,,50,767,1
814,,49,190,1
815,,81,602,1
816,,14,798,1
817,,79,1247,1
818,,17,18,1
819,,56,682,1
820,,2,1017,1
821,,61,243,1
822,,54,158,1
823,,2,184,1
824,,30,1051,1
825,,13,1073,1
826,,43,1133,1
827,,31,1372,1
828,,49,345,1
829,,39,202,1
830,,1,166,1
831,,50,1056,1
832,,49,1202,1
833,,5,894,1
834,,76,1059,1
835,,56,149,1
836,,56,280,1
837,,55,69,1
838,,53,950,1
839,,44,1214,1
840,,38,1031,1
841,,26,88,1
842,,53,260,1
843,,31,1297,1
844,,13,820,1
845,,37,695,1
846,,16,1413,1
847,,28,663,1
848,,47,467,1
849,,48,1002,1
850,,27,1218,1
851,,13,885,1
852,,8,1021,1
853,,65,20,1
854,,23,848,1
855,,17,417,1
856,,42,109,1
857,,50,768,1
858,,21,92,1
859,,31,574,1
860,,55,512,1
861,,42,110,1
862,,30,700,1
863,,9,651,1
864,,51,315,1
865,,27,1289,1
866,,25,1455,1
867,,4,888,1
868,,74,85,1
869,,52,1102,1
870,,47,934,1
871,,30,759,1
872,,59,85,1
873,,31,450,1
874,,45,967,1
875,,55,683,1
876,,68,984,1
877,,23,854,1
878,,2,1194,1
879,,74,1177,1
880,,15,972,1
881,,57,276,1
882,,30,558,1
883,,49,1248,1
884,,29,879,1
885,,22,420,1
886,,6,3,1
887,,6,28,1
888,,75,217,1
889,,13,1324,1
890,,29,1438,1
891,,3,179,1
892,,59,732,1
893,,95,644,1
894,,52,1005,1
895,,22,1456,1
896,,20,241,1
897,,49,333,1
898,,45,1183,1
899,,45,752,1
900,,50,951,1
901,,47,1070,1
902,,79,354,1
903,,5,1167,1
904,,65,801,1
905,,49,431,1
906,,49,439,1
907,,49,372,1
908,,53,797,1
909,,4,256,1
910,,31,624,1
911,,55,220,1
912,,35,523,1
913,,47,924,1
914,,54,696,1
915,,72,517,1
916,,3,904,1
917,,47,672,1
918,,29,339,1
919,,56,147,1
920,,52,761,1
921,,8,500,1
922,,5,1204,1
923,,56,66,1
924,,49,1265,1
925,,48,1143,1
926,,33,1094,1
927,,41,1192,1
928,,47,805,1
929,,20,1195,1
930,,49,1306,1
931,,31,242,1
932,,50,245,1
933,,43,540,1
934,,31,756,1
935,,70,1172,1
936,,36,989,1
937,,29,1439,1
938,,28,177,1
939,,20,1254,1
940,,1,10,1
941,,20,531,1
942,,63,1326,1
943,,28,657,1
944,,61,924,1
945,,49,542,1
946,,54,107,1
947,,17,347,1
948,,49,314,1
949,,3,411,1
950,,50,550,1
951,,15,461,1
952,,52,1058,1
953,,49,562,1
954,,7,1044,1
955,,2,652,1
956,,50,765,1
957,,60,835,1
958,,45,124,1
959,,73,935,1
960,,53,1274,1
961,,23,1238,1
962,,35,525,1
963,,30,29,1
964,,13,325,1
965,,18,320,1
966,,49,725,1
967,,54,266,1
968,,48,587,1
969,,1,945,1
970,,96,692,1
971,,49,1022,1
972,,52,1067,1
973,,50,119,1
974,,49,774,1
975,,53,949,1
976,,49,1270,1
977,,8,668,1
978,,3,322,1
979,,15,989,1
980,,2,1361,1
981,,48,840,1
982,,13,301,1
983,,47,676,1
984,,57,388,1
985,,2,1016,1
986,,47,413,1
987,,30,452,1
988,,49,331,1
989,,56,685,1
990,,48,1148,1
991,,30,1050,1
992,,8,1359,1
993,,22,376,1
994,,65,632,1
995,,11,569,1
996,,2,680,1
997,,103,1361,1
998,,23,816,1
999,,56,266,1
1000,,49,437,1
1001,,47,355,1
1002,,47,652,1
1003,,28,674,1
1004,,64,876,1
1005,,47,1087,1
1006,,1,1328,1
1007,,9,406,1
1008,,8,653,1
1009,,55,1307,1
1010,,47,1048,1
1011,,52,552,1
1012,,5,486,1
1013,,3,560,1
1014,,26,1081,1
1015,,4,1045,1
1016,,5,896,1
1017,,5,181,1
1018,,48,1141,1
1019,,72,827,1
1020,,30,95,1
1021,,8,697,1
1022,,20,85,1
1023,,55,72,1
1024,,49,722,1
1025,,50,303,1
1026,,9,397,1
1027,,1,1190,1
1028,,63,556,1
1029,,48,352,1
1030,,76,1210,1
1031,,64,877,1
1032,,33,1417,1
1033,,23,924,1
1034,,51,121,1
1035,,9,1353,1
1036,,22,418,1
1037,,2,863,1
1038,,22,518,1
1039,,30,703,1
1040,,72,7,1
1041,,41,1189,1
1042,,47,1100,1
1043,,56,15,1
1044,,6,915,1
1045,,49,312,1
1046,,31,616,1
1047,,49,311,1
1048,,47,719,1
1049,,72,828,1
1050,,1,1017,1
1051,,74,140,1
1052,,17,418,1
1053,,53,186,1
1054,,49,426,1
1055,,3,184,1
1056,,40,239,1
1057,,13,209,1
1058,,31,55,1
1059,,49,723,1
1060,,61,373,1
1061,,55,267,1
1062,,5,487,1
1063,,22,921,1
1064,,8,206,1
1065,,3,1292,1
1066,,2,1206,1
1067,,13,897,1
1068,,29,1431,1
1069,,49,772,1
1070,,46,747,1
1071,,49,1268,1
1072,,23,1014,1
1073,,1,52,1
1074,,97,494,1
1075,,20,153,1
1076,,1,1138,1
1077,,36,695,1
1078,,17,1459,1
1079,,59,1109,1
1080,,20,317,1
1081,,49,329,1
1082,,48,1146,1
1083,,15,614,1
1084,,49,337,1
1085,,79,754,1
1086,,20,1247,1
1087,,75,464,1
1088,,56,264,1
1089,,47,670,1
1090,,49,435,1
1091,,2,1360,1
1092,,20,40,1
1093,,64,874,1
1094,,79,1245,1
1095,,3,182,1
1096,,56,150,1
1097,,2,9,1
1098,,20,318,1
1099,,49,134,1
1100,,27,783,1
1101,,46,224,1
1102,,22,919,1
1103,,14,1074,1
1104,,5,888,1
1105,,25,1113,1
1106,,2,1015,1
1107,,2,410,1
1108,,17,781,1
1109,,4,731,1
1110,,49,199,1
1111,,25,956,1
1112,,4,870,1
1113,,48,1139,1
1114,,2,540,1
1115,,31,558,1
1116,,33,743,1
1117,,55,1244,1
1118,,9,395,1
1119,,55,215,1
1120,,52,951,1
1121,,25,38,1
1122,,6,1345,1
1123,,12,888,1
1124,,23,778,1
1125,,33,598,1
1126,,6,1370,1
1127,,11,953,1
1128,,13,1398,1
1129,,1,167,1
1130,,64,875,1
1131,,13,895,1
1132,,57,273,1
1133,,50,764,1
1134,,28,666,1
1135,,35,522,1
1136,,44,1183,1
1137,,41,1187,1
1138,,10,1333,1
1139,,9,398,1
1140,,2,1358,1
1141,,31,792,1
1142,,49,334,1
1143,,54,82,1
1144,,20,1373,1
1145,,66,779,1
1146,,22,1118,1
1147,,17,416,1
1148,,47,720,1
1149,,22,294,1
1150,,49,424,1
1151,,75,708,1
1152,,22,628,1
1153,,4,1062,1
1154,,55,696,1
1155,,61,1,1
1156,,30,4,1
1157,,5,485,1
1158,,70,1171,1
1159,,5,1003,1
1160,,42,1411,1
1161,,42,989,1
1162,,31,452,1
1163,,6,1343,1
1164,,29,1440,1
1165,,49,423,1
1166,,48,99,1
1167,,1,50,1
1168,,72,1427,1
1169,,4,868,1
1170,,55,1225,1
1171,,1,1136,1
1172,,49,43,1
1173,,53,644,1
1174,,4,171,1
1175,,20,1376,1
1176,,23,291,1
1177,,48,1144,1
1178,,38,1037,1
1179,,65,1166,1
1180,,37,514,1
1181,,57,277,1
1182,,26,1299,1
1183,,47,749,1
1184,,76,1367,1
1185,,2,411,1
1186,,13,1325,1
1187,,64,872,1
1188,,9,402,1
1189,,21,45,1
1190,,3,652,1
1191,,56,67,1
1192,,51,119,1
1193,,21,738,1
1194,,1,174,1
1195,,8,232,1
1196,,72,1428,1
1197,,14,1232,1
1198,,28,1196,1
1199,,23,850,1
1200,,103,1356,1
1201,,47,607,1
1202,,56,262,1
1203,,55,266,1
1204,,17,17,1
1205,,20,1383,1
1206,,5,566,1
1207,,53,1092,1
1208,,29,1023,1
1209,,29,1436,1
1210,,48,839,1
1211,,49,428,1
1212,,49,1201,1
1213,,45,1076,1
1214,,64,873,1
1215,,23,1261,1
1216,,13,584,1
1217,,52,730,1
1218,,20,1387,1
1219,,53,1266,1
1220,,8,896,1
1221,,55,685,1
1222,,44,99,1
1223,,1,282,1
1224,,33,1095,1
1225,,49,717,1
1226,,30,1176,1
1227,,77,812,1
1228,,26,1298,1
1229,,2,1137,1
1230,,22,920,1
1231,,25,316,1
1232,,4,255,1
1233,,95,646,1
1234,,2,924,1
1235,,52,1010,1
1236,,33,1132,1
1237,,71,1080,1
1238,,44,880,1
1239,,52,551,1
1240,,23,847,1
1241,,53,795,1
1242,,59,157,1
1243,,4,863,1
1244,,65,56,1
1245,,75,463,1
1246,,35,1052,1
1247,,35,23,1
1248,,3,822,1
1249,,65,1164,1
1250,,50,121,1
1251,,3,1295,1
1252,,8,1353,1
1253,,57,275,1
1254,,49,775,1
1255,,30,555,1
1256,,22,918,1
1257,,49,24,1
1258,,55,198,1
1259,,21,1323,1
1260,,25,592,1
1261,,55,64,1
1262,,9,400,1
1263,,48,129,1
1264,,48,991,1
1265,,79,318,1
1266,,37,808,1
1267,,3,1135,1
1268,,22,1119,1
1269,,20,754,1
1270,,36,807,1
1271,,6,1344,1
1272,,45,979,1
1273,,48,734,1
1274,,55,1256,1
1275,,28,677,1
1276,,13,906,1
1277,,54,267,1
1278,,31,931,1
1279,,75,465,1
1280,,79,547,1
1281,,9,407,1
1282,,67,1406,1
1283,,80,1001,1
1284,,71,1263,1
1285,,50,1268,1
1286,,54,195,1
1287,,17,1234,1
1288,,70,85,1
1289,,20,1385,1
1290,,22,1366,1
1291,,11,104,1
1292,,28,1082,1
1293,,31,789,1
1294,,42,44,1
1295,,9,394,1
1296,,53,947,1
1297,,76,414,1
1298,,2,49,1
1299,,52,1049,1
1300,,63,1457,1
1301,,12,1163,1
1302,,23,289,1
1303,,53,646,1
1304,,20,389,1
1305,,4,253,1
1306,,2,1157,1
1307,,6,1342,1
1308,,31,93,1
1309,,31,194,1
1310,,20,1172,1
1311,,33,1122,1
1312,,41,1236,1
1313,,51,244,1
1314,,47,655,1
1315,,49,313,1
1316,,23,296,1
1317,,6,888,1
1318,,47,598,1
1319,,13,302,1
1320,,20,966,1
1321,,11,571,1
1322,,33,638,1
1323,,38,1036,1
1324,,3,540,1
1325,,47,357,1
1326,,49,427,1
1327,,45,748,1
1328,,54,215,1
1329,,55,951,1
1330,,31,1237,1
1331,,13,888,1
1332,,14,1259,1
1333,,49,964,1
1334,,67,2,1
1335,,73,495,1
1336,,26,540,1
1337,,51,764,1
1338,,60,834,1
1339,,56,858,1
1340,,63,878,1
1341,,48,883,1
1342,,49,773,1
1343,,8,62,1
1344,,47,138,1
1345,,49,1269,1
1346,,82,203,1
1347,,20,1380,1
1348,,3,938,1
1349,,55,82,1
1350,,21,1321,1
1351,,52,610,1
1352,,20,593,1
1353,,47,668,1
1354,,55,1228,1
1355,,57,387,1
1356,,52,443,1
1357,,23,294,1
1358,,1,170,1
1359,,54,277,1
1360,,56,696,1
1361,,4,864,1
1362,,31,4,1
1363,,67,1403,1
1364,,7,1040,1
1365,,52,611,1
1366,,54,66,1
1367,,47,1079,1
1368,,47,34,1
1369,,2,1355,1
1370,,36,452,1
1371,,2,1309,1
1372,,53,473,1
1373,,30,1297,1
1374,,55,1213,1
1375,,49,648,1
1376,,25,565,1
1377,,55,269,1
1378,,22,291,1
1379,,18,59,1
1380,,9,392,1
1381,,29,488,1
1382,,75,1089,1
1383,,35,810,1
1384,,49,721,1
1385,,97,941,1
1386,,3,1096,1
1387,,57,640,1
1388,,49,164,1
1389,,25,39,1
1390,,48,1396,1
1391,,55,79,1
1392,,18,1251,1
1393,,59,1111,1
1394,,5,1352,1
1395,,54,924,1
1396,,55,546,1
1397,,1,285,1
1398,,9,399,1
1399,,58,904,1
1400,,49,335,1
1401,,67,633,1
1402,,28,661,1
1403,,47,493,1
1404,,18,1125,1
1405,,17,1165,1
1406,,33,636,1
1407,,47,656,1
1408,,2,1337,1
1409,,61,1055,1
1410,,20,923,1
1411,,20,745,1
1412,,35,527,1
1413,,47,1444,1
1414,,55,469,1
1415,,22,1084,1
1416,,3,1174,1
1417,,24,544,1
1418,,61,981,1
1419,,47,1364,1
1420,,75,1330,1
1421,,2,1448,1
1422,,56,856,1
1423,,2,159,1
1424,,47,99,1
1425,,59,1242,1
1426,,54,218,1
1427,,6,1199,1
1428,,61,1327,1
1429,,1,51,1
1430,,33,641,1
1431,,31,1176,1
1432,,39,201,1
1433,,15,350,1
1434,,42,969,1
1435,,53,645,1
1436,,25,484,1
1437,,64,1185,1
1438,,28,664,1
1439,,1,168,1
1440,,23,887,1
1441,,3,924,1
1442,,55,68,1
1443,,49,218,1
1444,,55,1450,1
1445,,30,97,1
1446,,2,961,1
1447,,60,836,1
1448,,6,1458,1
1449,,74,602,1
1450,,49,440,1
1451,,63,771,1
1452,,6,1353,1
1453,,36,450,1
1454,,79,90,1
1455,,47,1088,1
1456,,37,811,1
1457,,1,175,1
1458,,41,308,1
1459,,72,365,1
1460,,30,705,1
1461,,31,412,1
1462,,21,91,1
1463,,25,955,1
1464,,7,980,1
1465,,2,1156,1
1466,,30,760,1
1467,,41,1203,1
1468,,47,800,1
1469,,59,1121,1
1470,,16,589,1
1471,,33,368,1
1472,,56,784,1
1473,,17,989,1
1474,,52,76,1
1475,,33,597,1
1476,,55,263,1
1477,,2,1153,1
1478,,31,57,1
1479,,37,760,1
1480,,12,650,1
1481,,2,1449,1
1482,,15,971,1
1483,,23,293,1
1484,,21,1453,1
1485,,2,172,1
1486,,58,446,1
1487,,54,214,1
1488,,52,1268,1
1489,,72,1426,1
1490,,14,1397,1
1491,,25,116,1
1492,,29,1437,1
1493,,33,634,1
1494,,20,480,1
1495,,8,894,1
1496,,18,842,1
1497,,2,1158,1
1498,,2,169,1
1499,,12,1021,1
1500,,5,382,1
1501,,48,1223,1
1502,,69,85,1
1503,,8,820,1
1504,,49,618,1
1505,,20,1253,1
1506,,14,540,1
1507,,60,833,1
1508,,46,48,1
1509,,56,1207,1
1510,,65,415,1
1511,,55,219,1
1512,,2,1197,1
1513,,54,976,1
1514,,1,49,1
1515,,7,385,1
